,Year,Month,Day,no_tot,datetime,no_stupid,no_obama,no_liberal,no_idiot,no_conservative,no_values,no_principles,stupid_rate,obama_rate,liberal_rate,idiot_rate,conservative_rate,values_rate,principles_rate
0,2014,8,5,5819,2014-08-05,17,383,53,23,268,2,2,0.00292146416910122,0.06581886922151572,0.009108094174256745,0.003952569169960474,0.046056023371713356,0.00034370166695308474,0.00034370166695308474
1,2014,8,6,13722,2014-08-06,30,638,77,29,290,9,12,0.0021862702229995625,0.046494680075790704,0.005611426905698878,0.0021133945488995775,0.021133945488995772,0.0006558810668998689,0.0008745080891998251
2,2014,8,7,10057,2014-08-07,24,770,69,21,188,1,3,0.0023863975340558813,0.07656358755095953,0.0068608929104106596,0.002088097842298896,0.018693447350104406,9.943323058566172e-05,0.00029829969175698516
3,2014,8,8,9876,2014-08-08,45,414,81,38,211,9,4,0.004556500607533414,0.04191980558930741,0.008201701093560146,0.0038477116241393276,0.0213649250708789,0.0009113001215066828,0.0004050222762251924
4,2014,8,9,7163,2014-08-09,21,421,66,34,139,2,2,0.0029317325143096468,0.05877425659639816,0.009214016473544605,0.004746614546977524,0.019405277118525757,0.00027921262041044257,0.00027921262041044257
5,2014,8,10,6632,2014-08-10,13,408,50,15,178,36,1,0.0019601930036188178,0.061519903498190594,0.0075392038600723766,0.002261761158021713,0.02683956574185766,0.005428226779252111,0.00015078407720144752
6,2014,8,11,8693,2014-08-11,26,418,49,19,240,6,1,0.00299091222822961,0.04808466582307604,0.005636719199355804,0.002185666628321638,0.027608420568273322,0.0006902105142068331,0.00011503508570113885
7,2014,8,12,8567,2014-08-12,22,355,59,15,159,10,3,0.0025679934632893663,0.04143807633944205,0.006886891560639664,0.0017509046340609315,0.018559589121045873,0.001167269756040621,0.0003501809268121863
8,2014,8,13,9300,2014-08-13,19,273,160,12,147,1,5,0.0020430107526881723,0.02935483870967742,0.017204301075268817,0.0012903225806451613,0.015806451612903227,0.00010752688172043011,0.0005376344086021505
9,2014,8,14,15388,2014-08-14,35,673,108,33,445,6,15,0.002274499610085781,0.043735378216792305,0.0070184559396932675,0.002144528203795165,0.028918637899662075,0.0003899142188718482,0.0009747855471796204
10,2014,8,15,8898,2014-08-15,53,286,140,73,154,24,3,0.005956394695437177,0.032142054394245896,0.01573387278040009,0.008204090806922904,0.017307260058440098,0.0026972353337828725,0.00033715441672285906
11,2014,8,16,7304,2014-08-16,37,315,95,27,156,17,5,0.005065717415115006,0.04312705366922234,0.013006571741511501,0.003696604600219058,0.02135815991237678,0.0023274917853231105,0.0006845564074479737
12,2014,8,17,6482,2014-08-17,14,292,58,15,103,8,11,0.0021598272138228943,0.04504782474544894,0.008947855600123419,0.0023141005862388152,0.015890157358839863,0.001234186979327368,0.001697007096575131
13,2014,8,18,7503,2014-08-18,17,341,73,21,151,5,3,0.002265760362521658,0.045448487271757966,0.00972944155671065,0.0027988804478208716,0.020125283220045316,0.0006664001066240171,0.00039984006397441024
14,2014,8,19,9031,2014-08-19,14,508,143,28,130,1,2,0.0015502159229321226,0.05625069206067988,0.015834348355663823,0.0031004318458642452,0.014394862141512569,0.00011072970878086591,0.00022145941756173182
15,2014,8,21,6521,2014-08-21,20,307,80,13,119,4,3,0.0030670142616163166,0.04707866891581046,0.012268057046465266,0.001993559270050606,0.018248734856617082,0.0006134028523232633,0.00046005213924244745
16,2014,8,24,5554,2014-08-24,13,246,44,6,166,1,2,0.002340655383507382,0.044292401872524305,0.00792221822110191,0.0010803024846957148,0.02988836874324811,0.00018005041411595248,0.00036010082823190496
17,2014,8,25,6189,2014-08-25,22,407,116,19,180,5,2,0.003554693811601228,0.06576183551462272,0.018742931006624657,0.0030699628372919696,0.029083858458555503,0.0008078849571820973,0.0003231539828728389
18,2014,8,26,6520,2014-08-26,31,230,50,8,154,3,4,0.004754601226993865,0.0352760736196319,0.007668711656441718,0.001226993865030675,0.02361963190184049,0.00046012269938650307,0.0006134969325153375
19,2014,8,27,6654,2014-08-27,21,446,60,10,146,7,5,0.0031559963931469793,0.0670273519687406,0.009017132551848512,0.0015028554253080854,0.021941689209498048,0.0010519987977156598,0.0007514277126540427
20,2014,8,28,7945,2014-08-28,16,452,38,17,104,3,1,0.002013845185651353,0.05689112649465072,0.0047828823159219635,0.0021397105097545627,0.013089993706733794,0.0003775959723096287,0.00012586532410320956
21,2014,8,29,6428,2014-08-29,20,744,67,27,113,2,3,0.0031113876789047915,0.11574362165525824,0.010423148724331052,0.004200373366521469,0.017579340385812072,0.00031113876789047915,0.0004667081518357187
22,2014,8,30,5512,2014-08-30,19,267,74,13,147,4,4,0.003447024673439768,0.04843976777939042,0.013425253991291727,0.0023584905660377358,0.026669085631349784,0.000725689404934688,0.000725689404934688
23,2014,8,31,5874,2014-08-31,53,311,54,9,146,7,2,0.00902281239359891,0.052945182158665303,0.009193054136874362,0.0015321756894790602,0.024855294518215866,0.001191692202928158,0.00034048348655090226
24,2014,9,1,5663,2014-09-01,24,237,44,21,129,3,2,0.004238036376478898,0.041850609217729116,0.0077697333568779794,0.003708281829419036,0.02277944552357408,0.0005297545470598623,0.0003531696980399082
25,2014,9,2,6331,2014-09-02,36,397,69,17,107,10,10,0.005686305480966672,0.06270731322066024,0.010898752171852788,0.002685199810456484,0.016900963512873162,0.00157952930026852,0.00157952930026852
26,2014,9,3,6495,2014-09-03,15,326,59,15,91,3,8,0.0023094688221709007,0.050192455735180906,0.009083910700538876,0.0023094688221709007,0.014010777521170132,0.00046189376443418013,0.0012317167051578138
27,2014,9,4,5911,2014-09-04,11,333,128,26,191,2,5,0.0018609372356623245,0.05633564540686855,0.02165454237861614,0.004398578920656403,0.03231263745559127,0.0003383522246658772,0.000845880561664693
28,2014,9,5,6870,2014-09-05,10,371,195,21,278,1,7,0.001455604075691412,0.054002911208151386,0.028384279475982533,0.003056768558951965,0.04046579330422125,0.0001455604075691412,0.0010189228529839884
29,2014,9,6,7109,2014-09-06,13,313,89,16,159,3,3,0.0018286678857785904,0.04402869601913068,0.012519341679561119,0.0022506681671121114,0.022366014910676607,0.0004220002813335209,0.0004220002813335209
30,2014,11,23,4363,2014-11-23,14,273,30,5,131,3,4,0.0032088012835205133,0.06257162502865,0.0068760027504011,0.0011460004584001834,0.030025212010084804,0.0006876002750401101,0.0009168003667201467
31,2014,11,24,4890,2014-11-24,34,347,35,8,72,6,3,0.006952965235173824,0.07096114519427403,0.007157464212678937,0.0016359918200408998,0.014723926380368098,0.001226993865030675,0.0006134969325153375
32,2014,11,25,13925,2014-11-25,47,1255,142,20,302,5,1,0.0033752244165170557,0.09012567324955116,0.010197486535008977,0.001436265709156194,0.021687612208258527,0.0003590664272890485,7.181328545780969e-05
33,2014,11,27,5748,2014-11-27,9,478,40,12,71,1,2,0.0015657620041753654,0.08315935977731385,0.006958942240779402,0.0020876826722338203,0.012352122477383438,0.00017397355601948505,0.0003479471120389701
34,2014,11,28,4098,2014-11-28,3,294,56,10,65,1,2,0.0007320644216691069,0.07174231332357248,0.013665202537823329,0.002440214738897023,0.01586139580283065,0.0002440214738897023,0.0004880429477794046
35,2014,11,29,4209,2014-11-29,13,194,69,15,60,2,1,0.0030886196246139226,0.046091708244238534,0.01639344262295082,0.003563791874554526,0.014255167498218105,0.0004751722499406035,0.00023758612497030174
36,2014,11,30,5268,2014-11-30,21,382,42,8,146,14,2,0.003986332574031891,0.07251328777524678,0.007972665148063782,0.0015186028853454822,0.02771450265755505,0.0026575550493545936,0.00037965072133637056
37,2014,12,1,4580,2014-12-01,12,317,45,25,90,3,1,0.0026200873362445414,0.06921397379912664,0.009825327510917031,0.0054585152838427945,0.019650655021834062,0.0006550218340611354,0.0002183406113537118
38,2014,12,2,5149,2014-12-02,14,369,21,15,120,20,3,0.0027189745581666343,0.07166440085453486,0.004078461837249951,0.0029131870266071083,0.023305496212856866,0.0038842493688094775,0.0005826374053214216
39,2014,12,3,7979,2014-12-03,27,2005,29,12,122,6,2,0.003383882692066675,0.2512846221330994,0.003634540669256799,0.0015039478631407445,0.01529013660859757,0.0007519739315703722,0.00025065797719012406
40,2014,12,4,7229,2014-12-04,31,1253,43,6,188,1,5,0.0042882833033614605,0.17332964448748098,0.005948263936920736,0.0008299903167796375,0.026006363259095312,0.00013833171946327292,0.0006916585973163646
41,2014,12,5,5518,2014-12-05,69,649,48,16,97,1,13,0.012504530627038782,0.11761507792678506,0.008698803914461761,0.002899601304820587,0.01757883291047481,0.0001812250815512867,0.002355926060166727
42,2014,12,6,4411,2014-12-06,41,227,74,9,91,2,3,0.00929494445703922,0.051462253457265926,0.01677624121514396,0.0020403536613012923,0.020630242575379733,0.0004534119247336205,0.0006801178871004307
43,2014,12,7,5453,2014-12-07,60,555,39,14,96,1,4,0.011003117549972493,0.10177883733724555,0.00715202640748212,0.0025673940949935813,0.017604988079955988,0.00018338529249954154,0.0007335411699981661
44,2014,12,8,5045,2014-12-08,34,345,37,19,116,1,5,0.006739345887016849,0.06838453914767097,0.007333994053518335,0.0037661050545094153,0.022993062438057484,0.00019821605550049553,0.0009910802775024777
45,2014,12,9,6007,2014-12-09,561,386,123,16,119,6,3,0.09339104378225403,0.06425836524055269,0.020476111203595805,0.002663559180955552,0.019810221408356917,0.000998834692858332,0.000499417346429166
46,2014,12,10,5831,2014-12-10,73,266,91,64,79,8,4,0.012519293431658378,0.04561824729891957,0.015606242496998799,0.010975818898988167,0.013548276453438519,0.0013719773623735209,0.0006859886811867604
47,2014,12,11,5489,2014-12-11,25,339,82,16,103,14,3,0.004554563672800146,0.06175988340316998,0.014938968846784478,0.0029149207505920934,0.0187648023319366,0.0025505556567680817,0.0005465476407360175
48,2014,12,12,7331,2014-12-12,7,880,106,13,237,1,8,0.0009548492702223434,0.12003819397080889,0.014459146091938343,0.001773291501841495,0.032328468148956485,0.00013640703860319192,0.0010912563088255353
49,2014,12,13,6079,2014-12-13,29,372,266,10,89,5,2,0.004770521467346603,0.06119427537423918,0.04375719690738608,0.0016450074025333114,0.014640565882546471,0.0008225037012666557,0.0003290014805066623
50,2014,12,14,5246,2014-12-14,76,297,215,5,164,4,5,0.014487228364468167,0.05661456347693481,0.040983606557377046,0.0009531071292413268,0.031261913839115515,0.0007624857033930614,0.0009531071292413268
51,2014,12,15,6187,2014-12-15,95,152,183,9,103,4,4,0.01535477614352675,0.0245676418296428,0.029578147729109425,0.0014546630030709553,0.016647809924034265,0.0006465168902537578,0.0006465168902537578
